,affiliation_nums,affiliation_text,author_names,date_posted,doi,downloads,paper_title,subject_area,pmid,pmid_links,pmid_links_num
0,"['1', '1', '1', '1', '1', '1', '1', '1', '2', '2', '1', '3', '1', '2', '1', '1', '1', '2', '1', '4']","['Yale University', 'Central South University', 'Yale University School of Medicine']","Meiling Zhang,Zongzhi Liu,Keisuke Aoshima,Yangyi Zhang,Yongyan An,Asako Aoshima,Lok Hei Chan,Sabine Lang,Hongy Sun,Zhenwei Tang,Sara Rutter,Carmen J. Booth,Veerl Bossuyt,Xiang Chen,Jon Morrow,Lajos Pusztai,David Rimm,Mingzhu Yin,Qin Yan",2020-10-23, https://doi.org/10.1101/2020.09.10.291799 ,"[['Sep 2020', '218', '29', '45', ''], ['Oct 2020', '227', '19', '44', '']]",CECR2 Drives Breast Cancer Metastasis by Suppressing Macrophage Inflammatory Responses,"Cancer Biology,
",31690671,[],0
1,"['1', '3', '2']","['shanghaiTech University', 'ShanghaiTech University']","Tian Chi,Mingming Jia",2020-10-27, https://doi.org/10.1101/2020.10.26.356220 ,"[['Oct 2020', '222', '37', '']]",Sex-specific predictive values of biomarkers for immunotherapy efficacy in lung adenocarcinoma,"Cancer Biology,
",32154170,['32449246'],1
2,"['1', '1', '2', '3', '4', '2', '1', '5', '*']","['Kanpur, 208016, U.P., INDIA,, Detroit, MI 48202, USA,, Detroit, MI 48202,, Guildford, UK,, Kanpur, 208016, INDIA']","Sakshi Goel,Vipul Bhatia,Shannon Carskadon,Nilesh Gupta,Mohammad Asim,Nallasivam Palanisamy,Bushra Ateeq",2020-08-29, https://doi.org/10.1101/2020.08.28.271916 ,"[['Aug 2020', '552', '8', '116', ''], ['Sep 2020', '362', '41', '53', ''], ['Oct 2020', '48', '4', '12', '']]",Transcriptional network involving ERG and AR orchestrates Distal-Less Homeobox 1 mediated prostate cancer progression,"Cancer Biology,
",30587549,"['33043165', '32896760', '32266486', '32126023', '31977154', '31959826', '31366128', '31353123', '31095801']",9
3,"['1', '2', '3', '4', '1', '1', '*']","['Tampa, FL, USA,, Oxford, UK,, Birmingham, AL, USA,, Tampa, FL, USA']","Jacob G. Scott,Anita B. Hjelmeland,Prakash Chinnaiyan,Alexander R. A. Anderson,David Basanta",2013-11-07, https://doi.org/10.1101/000141 ,"[['Nov 2013', '248', '0', '27', ''], ['Dec 2013', '140', '0', '68', ''], ['Jan 2014', '52', '0', '30', ''], ['Feb 2014', '67', '0', '20', ''], ['Mar 2014', '117', '0', '11', ''], ['Apr 2014', '68', '0', '15', ''], ['May 2014', '41', '0', '9', ''], ['Jun 2014', '21', '0', '9', ''], ['Jul 2014', '18', '0', '8', ''], ['Aug 2014', '13', '0', '6', ''], ['Sep 2014', '20', '0', '3', ''], ['Oct 2014', '12', '0', '2', ''], ['Nov 2014', '18', '0', '2', ''], ['Dec 2014', '32', '0', '6', ''], ['Jan 2015', '16', '4', '8', ''], ['Feb 2015', '14', '1', '8', ''], ['Mar 2015', '24', '0', '5', ''], ['Apr 2015', '23', '0', '8', ''], ['May 2015', '41', '0', '3', ''], ['Jun 2015', '12', '0', '9', ''], ['Jul 2015', '26', '0', '6', ''], ['Aug 2015', '18', '0', '8', ''], ['Sep 2015', '14', '0', '2', ''], ['Oct 2015', '12', '0', '5', ''], ['Nov 2015', '40', '0', '9', ''], ['Dec 2015', '27', '0', '4', ''], ['Jan 2016', '27', '0', '9', ''], ['Feb 2016', '40', '0', '9', ''], ['Mar 2016', '52', '0', '8', ''], ['Apr 2016', '30', '0', '1', ''], ['May 2016', '31', '0', '7', ''], ['Jun 2016', '37', '0', '3', ''], ['Jul 2016', '38', '0', '5', ''], ['Aug 2016', '38', '0', '11', ''], ['Sep 2016', '25', '0', '8', ''], ['Oct 2016', '14', '0', '11', ''], ['Nov 2016', '38', '0', '3', ''], ['Dec 2016', '62', '0', '6', ''], ['Jan 2017', '36', '0', '2', ''], ['Feb 2017', '25', '0', '2', ''], ['Mar 2017', '48', '0', '5', ''], ['Apr 2017', '56', '0', '0', ''], ['May 2017', '45', '0', '2', ''], ['Jun 2017', '26', '0', '0', ''], ['Jul 2017', '17', '0', '1', ''], ['Aug 2017', '23', '0', '1', ''], ['Sep 2017', '29', '0', '2', ''], ['Oct 2017', '34', '0', '1', ''], ['Nov 2017', '23', '0', '1', ''], ['Dec 2017', '9', '0', '0', ''], ['Jan 2018', '18', '0', '0', ''], ['Feb 2018', '37', '0', '12', ''], ['Mar 2018', '39', '0', '6', ''], ['Apr 2018', '25', '0', '1', ''], ['May 2018', '74', '0', '16', ''], ['Jun 2018', '46', '0', '0', ''], ['Jul 2018', '105', '0', '7', ''], ['Aug 2018', '90', '0', '2', ''], ['Sep 2018', '43', '0', '2', ''], ['Oct 2018', '26', '0', '3', ''], ['Nov 2018', '46', '0', '3', ''], ['Dec 2018', '63', '0', '5', ''], ['Jan 2019', '76', '0', '11', ''], ['Feb 2019', '109', '22', '17', ''], ['Mar 2019', '28', '3', '8', ''], ['Apr 2019', '27', '7', '15', ''], ['May 2019', '41', '10', '7', ''], ['Jun 2019', '28', '5', '10', ''], ['Jul 2019', '26', '2', '7', ''], ['Aug 2019', '23', '8', '3', ''], ['Sep 2019', '50', '4', '6', ''], ['Oct 2019', '45', '10', '6', ''], ['Nov 2019', '35', '12', '9', ''], ['Dec 2019', '34', '8', '4', ''], ['Jan 2020', '50', '4', '9', ''], ['Feb 2020', '63', '17', '12', ''], ['Mar 2020', '64', '20', '7', ''], ['Apr 2020', '54', '6', '8', ''], ['May 2020', '51', '7', '6', ''], ['Jun 2020', '68', '4', '2', ''], ['Jul 2020', '22', '2', '5', ''], ['Aug 2020', '29', '7', '6', ''], ['Sep 2020', '53', '5', '8', ''], ['Oct 2020', '35', '3', '10', '']]",Microenvironmental variables must influence intrinsic phenotypic parameters of cancer stem cells to affect tumourigenicity,"Cancer Biology,
",24453958,"['30992437', '29392399', '29351275', '28669884', '28508298', '28386558', '28348562', '28113244', '27151511', '27113934', '27044046', '26800503', '26442108', '26050594', '25905470', '25742563', '25604264', '24700698']",18
4,"['1', '2', '3']","['CUNY, The Graduate Center, New York, 365 Fifth Avenue, New York, NY 10016, USA,, 76 Ninth Avenue, New York, NY 10011, USA,, 251 Mercer Street, New York, NY 10012, USA']","Loes Olde Loohuis,Andreas Witzel,Bud Mishra",2014-01-02, https://doi.org/10.1101/001651 ,"[['Jan 2014', '171', '0', '99', ''], ['Feb 2014', '37', '0', '23', ''], ['Mar 2014', '31', '0', '31', ''], ['Apr 2014', '28', '0', '28', ''], ['May 2014', '34', '0', '19', ''], ['Jun 2014', '17', '0', '34', ''], ['Jul 2014', '23', '0', '15', ''], ['Aug 2014', '15', '0', '13', ''], ['Sep 2014', '26', '0', '21', ''], ['Oct 2014', '20', '0', '18', ''], ['Nov 2014', '26', '0', '16', ''], ['Dec 2014', '23', '0', '9', ''], ['Jan 2015', '8', '1', '17', ''], ['Feb 2015', '20', '1', '48', ''], ['Mar 2015', '11', '0', '49', ''], ['Apr 2015', '26', '0', '13', ''], ['May 2015', '12', '0', '8', ''], ['Jun 2015', '2', '0', '5', ''], ['Jul 2015', '8', '0', '5', ''], ['Aug 2015', '9', '0', '14', ''], ['Sep 2015', '11', '0', '10', ''], ['Oct 2015', '9', '0', '9', ''], ['Nov 2015', '17', '0', '14', ''], ['Dec 2015', '14', '0', '9', ''], ['Jan 2016', '10', '0', '15', ''], ['Feb 2016', '22', '0', '15', ''], ['Mar 2016', '13', '0', '12', ''], ['Apr 2016', '11', '0', '5', ''], ['May 2016', '12', '0', '6', ''], ['Jun 2016', '33', '0', '6', ''], ['Jul 2016', '33', '0', '11', ''], ['Aug 2016', '24', '0', '21', ''], ['Sep 2016', '20', '0', '9', ''], ['Oct 2016', '13', '0', '10', ''], ['Nov 2016', '25', '0', '4', ''], ['Dec 2016', '35', '0', '10', ''], ['Jan 2017', '27', '0', '13', ''], ['Feb 2017', '14', '0', '8', ''], ['Mar 2017', '16', '0', '6', ''], ['Apr 2017', '15', '0', '4', ''], ['May 2017', '18', '0', '0', ''], ['Jun 2017', '15', '0', '4', ''], ['Jul 2017', '11', '0', '7', ''], ['Aug 2017', '12', '0', '0', ''], ['Sep 2017', '17', '0', '4', ''], ['Oct 2017', '11', '0', '8', ''], ['Nov 2017', '5', '0', '18', ''], ['Dec 2017', '7', '0', '5', ''], ['Jan 2018', '16', '0', '5', ''], ['Feb 2018', '12', '0', '4', ''], ['Mar 2018', '18', '0', '5', ''], ['Apr 2018', '24', '0', '10', ''], ['May 2018', '33', '0', '11', ''], ['Jun 2018', '23', '0', '4', ''], ['Jul 2018', '23', '0', '7', ''], ['Aug 2018', '30', '0', '19', ''], ['Sep 2018', '28', '0', '6', ''], ['Oct 2018', '13', '0', '10', ''], ['Nov 2018', '18', '0', '6', ''], ['Dec 2018', '26', '0', '13', ''], ['Jan 2019', '48', '0', '13', ''], ['Feb 2019', '55', '12', '16', ''], ['Mar 2019', '20', '9', '13', ''], ['Apr 2019', '23', '4', '6', ''], ['May 2019', '28', '10', '14', ''], ['Jun 2019', '13', '2', '13', ''], ['Jul 2019', '9', '4', '15', ''], ['Aug 2019', '15', '11', '6', ''], ['Sep 2019', '29', '3', '9', ''], ['Oct 2019', '22', '7', '7', ''], ['Nov 2019', '21', '6', '5', ''], ['Dec 2019', '24', '8', '11', ''], ['Jan 2020', '24', '4', '8', ''], ['Feb 2020', '41', '15', '10', ''], ['Mar 2020', '23', '11', '9', ''], ['Apr 2020', '26', '2', '9', ''], ['May 2020', '24', '8', '2', ''], ['Jun 2020', '25', '3', '5', ''], ['Jul 2020', '17', '2', '8', ''], ['Aug 2020', '15', '3', '23', ''], ['Sep 2020', '25', '4', '3', ''], ['Oct 2020', '19', '5', '8', '']]",Power-law Null Model for Bystander Mutations in Cancer,"Cancer Biology,
",26357061,[],0
5,"['1', '1', '2', '1', '3']",[''],"Vakul Mohanty,Fang Wang,Gordon Mills,Ken Chen",2020-08-30, https://doi.org/10.1101/2020.08.28.272641 ,"[['Aug 2020', '290', '0', '59', ''], ['Sep 2020', '291', '38', '71', ''], ['Oct 2020', '70', '13', '27', '']]",Targeting uncoupling of copy number and gene expression in cancers,"Cancer Biology,
",30988467,['32078798'],1
6,"['1', '1', '1', '2', '1', '3', '4', '1', '1', '5', '6', '8', '7', '9', '1', '3', '10', '1', '2', '1', '*']","['La Jolla, CA, 92037, USA,, New York, NY, 10065, USA,, La Jolla, CA, 92037, USA,, La Jolla, CA, 92037, USA,, Seattle, Washington, USA,, Vancouver, British Columbia, Canada,, Munich, 81377, Germany,, Munich, Germany,, Boston, MA, 02215, USA,, Boston, MA, 02215, USA']","Bo-Rui Chen,Anagha Deshpande,Karina Barbosa,Maria Kleppe,Xue Li,Narayana Yeddula,Alexandre Rosa Campos,Robert J. Wechsler-Reya,Anindya Bagchi,Soheil Meshinchi,Connie Eaves,Irmela Jeremias,Torsten Haferlach,David A Frank,Ze’ev Ronai,Sumit Chanda,Scott A. Armstrong,Peter D. Adams,Ross L. Levine,Aniruddha J. Deshpande",2020-08-31, https://doi.org/10.1101/2020.08.31.273631 ,"[['Aug 2020', '290', '0', '38', ''], ['Sep 2020', '544', '48', '120', ''], ['Oct 2020', '58', '8', '19', '']]",A JAK/STAT-Mediated Inflammatory Signaling Cascade Drives Oncogenesis In AF10-Rearranged AML,"Cancer Biology,
",31022428,['32751422'],1
7,"['1', '4', '1', '1', '1', '2', '3']","['University of Guelph', 'BC Cancer Agency', 'BC Cancer Agency: British Columbia Cancer Agency']","Emma Allen-Vercoe,Kyla Cochrane,Avery  V Robinson,Jacqueline Powers,Scott  D. Brown,Robert  A. Holt",2020-10-26, https://doi.org/10.1101/2020.10.26.354910 ,"[['Oct 2020', '181', '30', '']]",Invasion by Fusobacterium nucleatum Causes Upregulation of dll4 and klf4 Expression in Caco-2 Cells,"Cancer Biology,
",31661053,"['32943695', '32626529']",2
8,"['1', '2', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '3', '3', '4', '1', '1', '1', '1', '1', '1', '5', '5', '6', '7', '6', '6', '5', '1', '1', '1', '8', '3', '2', '9', '1', '1', '1', '1', '5', '1', '10']","['Dana-Farber Cancer Institute', 'National Cancer Institute', 'Cedars-Sinai Medical Center', 'Istituto Italiano di Tecnologia', 'University of Washington', 'Fred Hutchinson Cancer Research Center', 'Fred Hutchinson Cancer Research Institute', 'University of California Los Angeles', 'Vancouver Prostate Centre']","Sylvan C Baca,David Y Takeda,Ji-Heui Seo,Justin Hwang,Sheng Yu Ku,Rand Arafeh,Taylor Arnoff,Supreet Agarwal,Connor Bell,Edward O'Connor,Xintao Qiu,Sarah Abu Alaiwi,Rosario I Corona,Marcos A. S. Fonseca,Claudia Giambartolomei,Paloma Cejas,Klothilda Lim,Monica He,Anjali Sheahan,Amin Nassar,Jacob E. Berchuck,Lisha Brown,Holly M. Nguyen,Ilsa M. Coleman,Arja Kaipainen,Navonil De Sarkar,Peter S. Nelson,Colm Morrissey,Keegan Korthauer,Mark M. Pomerantz,Leigh Ellis,Bogdan Pasaniuc,Kate Lawrenson,Kathleen Kelly,Amina Zoubeidi,William C. Hahn,Himisha Beltran,Henry W. Long,Myles Brown,Eva Corey,Matthew L. Freedman",2020-10-24, https://doi.org/10.1101/2020.10.23.350793 ,"[['Oct 2020', '543', '10', '78', '']]",Reprogramming of the FOXA1 cistrome in treatment-emergent neuroendocrine prostate cancer,"Cancer Biology,
",32690948,[],0
9,['1'],['H. Lee Moffitt Cancer Center and Research Institute'],"Olga Vera,Ilah Bok,Neel Jasani,Koji Nakamura,Xiaonan Xu,Nicol Mecozzi,Ariana Angarita,Kaizhen Wang,Kenneth Y Tsai,Florian A Karreth",2020-10-22, https://doi.org/10.1101/2020.01.27.922153 ,"[['Jan 2020', '368', '2', '49', ''], ['Feb 2020', '163', '35', '39', ''], ['Mar 2020', '170', '20', '45', ''], ['Apr 2020', '94', '12', '25', ''], ['May 2020', '84', '19', '28', ''], ['Jun 2020', '49', '10', '16', ''], ['Jul 2020', '52', '10', '15', ''], ['Aug 2020', '64', '17', '5', ''], ['Sep 2020', '42', '14', '24', ''], ['Oct 2020', '215', '18', '45', '']]",MAPK-induced miR-29 targets MAFG and suppresses melanoma development,"Cancer Biology,
",31744817,[],0
